frame_id,x,y,detected,x_smooth,y_smooth,dx,dy,speed_m_frame,dy_sign,hit,hitter
0,5.5879827,24.45002,True,5.538517475128174,24.62467892964681,,,,,False,
1,5.5879827,24.45002,True,5.474407076835632,24.832003116607666,-0.0641103982925415,0.2073241869608573,0.21701028009799173,1.0,False,
2,5.439587,24.973997,True,5.406970596313476,25.051214599609374,-0.06743648052215612,0.21921148300170756,0.2293498488881627,1.0,False,
3,5.282076,25.453976,True,5.288309097290039,25.447641372680664,-0.11866149902343714,0.3964267730712905,0.41380519300536284,1.0,False,
4,5.1372247,25.92806,True,5.139293193817139,25.936439514160156,-0.1490159034729004,0.4887981414794922,0.5110081825192728,1.0,False,
5,4.994675,26.432154,True,5.006510829925537,26.3978515625,-0.13278236389160192,0.46141204833984517,0.4801377245268418,1.0,False,
6,4.842903,26.89401,True,4.872520065307617,26.91563835144043,-0.13399076461791992,0.5177867889404268,0.5348426720112495,1.0,False,
7,4.7756753,27.281057,True,4.7385259628295895,27.534917449951173,-0.13399410247802734,0.619279098510745,0.6336095180402305,1.0,False,
8,4.612122,28.04291,True,4.616427040100097,28.13303108215332,-0.12209892272949219,0.5981136322021463,0.6104490674558746,1.0,False,
9,4.467254,29.024456,True,4.532733345031739,28.35549430847168,-0.08369369506835866,0.2224632263183608,0.23768576242208875,1.0,True,player_1
10,4.3841805,29.422722,True,4.47371654510498,28.241768264770506,-0.059016799926758345,-0.113726043701174,0.12812726364640886,-1.0,False,
11,4.4244347,28.006327,True,4.461335372924805,27.7151180267334,-0.012381172180175426,-0.5266502380371065,0.5267957542056467,-1.0,False,
12,4.4805913,26.712427,True,4.490011978149414,26.714815139770508,0.02867660522460902,-1.000302886962892,1.0007138518844958,-1.0,False,
13,4.550216,25.409658,True,4.551748943328858,25.31563949584961,0.061736965179443715,-1.3991756439208984,1.4005370167942826,-1.0,False,
14,4.610637,24.022942,True,4.61796875,24.00679130554199,0.06621980667114258,-1.308848190307618,1.310522280645045,-1.0,False,
15,4.6928654,22.426844,True,4.683508682250976,22.759033966064454,0.06553993225097621,-1.2477573394775376,1.2494774351461997,-1.0,False,
